Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Japan,GDP Growth Rate,1980-06-30T00:00:00,-0.5,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1980-09-30T00:00:00,2.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1980-12-31T00:00:00,2.1,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1981-03-31T00:00:00,0.6,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1981-06-30T00:00:00,1.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1981-09-30T00:00:00,-0.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1981-12-31T00:00:00,0.7,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1982-03-31T00:00:00,1.5,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1982-06-30T00:00:00,0.7,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1982-09-30T00:00:00,0.4,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1982-12-31T00:00:00,1.4,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1983-03-31T00:00:00,0.1,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1983-06-30T00:00:00,0.8,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1983-09-30T00:00:00,1.5,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1983-12-31T00:00:00,0.8,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1984-03-31T00:00:00,1.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1984-06-30T00:00:00,1.5,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1984-09-30T00:00:00,1.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1984-12-31T00:00:00,0.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1985-03-31T00:00:00,2.5,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1985-06-30T00:00:00,2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1985-09-30T00:00:00,1.3,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1985-12-31T00:00:00,1.3,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1986-03-31T00:00:00,0.4,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1986-06-30T00:00:00,-0.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1986-09-30T00:00:00,0.6,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1986-12-31T00:00:00,0.8,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1987-03-31T00:00:00,-0.1,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1987-06-30T00:00:00,2.1,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1987-09-30T00:00:00,2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1987-12-31T00:00:00,2.6,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1988-03-31T00:00:00,2.4,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1988-06-30T00:00:00,-0.1,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1988-09-30T00:00:00,2.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1988-12-31T00:00:00,1.1,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1989-03-31T00:00:00,2.7,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1989-06-30T00:00:00,-1.3,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1989-09-30T00:00:00,1.7,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1989-12-31T00:00:00,3.1,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1990-03-31T00:00:00,-0.5,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1990-06-30T00:00:00,3.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1990-09-30T00:00:00,1.7,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1990-12-31T00:00:00,-0.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1991-03-31T00:00:00,0.9,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1991-06-30T00:00:00,1.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1991-09-30T00:00:00,-0.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1991-12-31T00:00:00,0.7,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1992-03-31T00:00:00,0,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1992-06-30T00:00:00,0.4,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1992-09-30T00:00:00,0.1,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1992-12-31T00:00:00,-0.6,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1993-03-31T00:00:00,1.1,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1993-06-30T00:00:00,-0.6,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1993-09-30T00:00:00,-0.7,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1993-12-31T00:00:00,0.6,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1994-03-31T00:00:00,0.7,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1994-06-30T00:00:00,-0.5,Quarterly,JGDPAGDP,2023-02-15T15:12:00
Japan,GDP Growth Rate,1994-09-30T00:00:00,1.2,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1994-12-31T00:00:00,-0.4,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,1995-03-31T00:00:00,1.1,Quarterly,JGDPAGDP,2020-03-09T11:44:00
Japan,GDP Growth Rate,1995-06-30T00:00:00,0.9,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1995-09-30T00:00:00,1.2,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,1995-12-31T00:00:00,0.2,Quarterly,JGDPAGDP,2019-08-09T13:29:00
Japan,GDP Growth Rate,1996-03-31T00:00:00,0.8,Quarterly,JGDPAGDP,2019-12-09T00:29:00
Japan,GDP Growth Rate,1996-06-30T00:00:00,1.3,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1996-09-30T00:00:00,0.1,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1996-12-31T00:00:00,1.1,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1997-03-31T00:00:00,0.3,Quarterly,JGDPAGDP,2018-06-08T10:47:00
Japan,GDP Growth Rate,1997-06-30T00:00:00,-0.7,Quarterly,JGDPAGDP,2023-02-15T15:12:00
Japan,GDP Growth Rate,1997-09-30T00:00:00,0.2,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,1997-12-31T00:00:00,0,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,1998-03-31T00:00:00,-1.2,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1998-06-30T00:00:00,-0.4,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1998-09-30T00:00:00,0.2,Quarterly,JGDPAGDP,2016-12-08T12:18:00
Japan,GDP Growth Rate,1998-12-31T00:00:00,0.8,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,1999-03-31T00:00:00,-1.4,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1999-06-30T00:00:00,0.4,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1999-09-30T00:00:00,0.5,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,1999-12-31T00:00:00,0,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2000-03-31T00:00:00,1.7,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2000-06-30T00:00:00,0.5,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2000-09-30T00:00:00,0,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2000-12-31T00:00:00,1,Quarterly,JGDPAGDP,2018-12-10T11:32:00
Japan,GDP Growth Rate,2001-03-31T00:00:00,0.7,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2001-06-30T00:00:00,-0.7,Quarterly,JGDPAGDP,2023-02-15T15:12:00
Japan,GDP Growth Rate,2001-09-30T00:00:00,-1.1,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2001-12-31T00:00:00,-0.3,Quarterly,JGDPAGDP,2017-12-08T14:42:00
Japan,GDP Growth Rate,2002-03-31T00:00:00,0.2,Quarterly,JGDPAGDP,2019-12-09T00:29:00
Japan,GDP Growth Rate,2002-06-30T00:00:00,0.8,Quarterly,JGDPAGDP,2020-12-08T00:35:00
Japan,GDP Growth Rate,2002-09-30T00:00:00,0.3,Quarterly,JGDPAGDP,2018-12-10T11:32:00
