iter	Passed	Remaining
0	1	17904
1	2	11978
2	3	10201
3	3	9150
4	4	8488
5	4	7950
6	5	7658
7	6	7514
8	6	7394
9	7	7186
10	7	7216
11	8	7115
12	9	6970
13	9	6868
14	10	6937
15	10	6857
16	11	6827
17	12	6762
18	12	6751
19	13	6703
20	13	6644
21	14	6627
22	15	6597
23	15	6585
24	16	6582
25	17	6604
26	18	6922
27	19	6932
28	20	7004
29	21	7108
30	22	7152
31	23	7182
32	23	7138
33	24	7054
34	24	6979
35	24	6906
36	25	6886
37	26	6863
38	26	6872
39	27	6911
40	28	6916
41	28	6869
42	29	6812
43	29	6775
44	30	6750
45	31	6755
46	31	6743
47	32	6743
48	33	6787
49	34	6783
50	34	6793
51	35	6802
52	36	6807
53	37	6819
54	37	6828
55	38	6832
56	39	6822
57	39	6837
58	40	6877
59	41	6896
60	42	6926
61	43	6948
62	43	6930
63	44	6902
64	45	6886
65	45	6866
66	46	6855
67	46	6848
68	47	6825
69	47	6781
70	48	6738
71	48	6693
72	49	6684
73	49	6667
74	50	6641
75	50	6638
76	51	6620
77	51	6593
78	52	6555
79	52	6519
80	52	6489
81	53	6467
82	54	6484
83	54	6483
84	55	6452
85	55	6428
86	56	6422
87	56	6403
88	57	6379
89	57	6378
90	58	6368
91	58	6334
92	59	6305
93	59	6278
94	59	6249
95	60	6249
96	61	6234
97	61	6226
98	62	6225
99	62	6226
100	63	6214
101	63	6194
102	64	6166
103	64	6139
104	64	6120
105	65	6094
106	65	6071
107	66	6045
108	66	6021
109	66	6002
110	67	5983
111	67	5972
112	68	5949
113	68	5936
114	68	5916
115	69	5898
116	69	5878
117	69	5859
118	70	5836
119	70	5814
120	70	5793
121	71	5775
122	72	5781
123	72	5776
124	73	5784
125	73	5776
126	74	5774
127	74	5783
128	75	5786
129	76	5783
130	76	5782
131	77	5779
132	77	5770
133	78	5762
134	78	5764
135	79	5751
136	79	5733
137	79	5717
138	80	5706
139	80	5692
140	81	5677
141	81	5660
142	81	5646
143	82	5629
144	82	5617
145	83	5603
146	83	5585
147	83	5570
148	84	5553
149	84	5539
150	84	5525
151	85	5510
152	85	5497
153	85	5482
154	86	5467
155	86	5453
156	86	5438
157	87	5424
158	87	5411
159	87	5397
160	88	5385
161	88	5375
162	88	5362
163	89	5350
164	89	5339
165	89	5326
166	90	5313
167	90	5302
168	90	5289
169	91	5275
170	91	5265
171	91	5253
172	92	5242
173	92	5231
174	93	5223
175	93	5212
176	93	5203
177	94	5194
178	94	5189
179	95	5184
180	95	5179
181	95	5171
182	96	5161
183	96	5151
184	96	5143
185	97	5133
186	97	5122
187	98	5115
188	98	5106
189	98	5096
190	99	5089
191	99	5080
192	99	5073
193	100	5066
194	100	5055
195	101	5055
196	101	5067
197	102	5072
198	103	5073
199	103	5076
200	104	5080
201	104	5082
202	105	5083
203	105	5082
204	106	5083
205	106	5075
206	107	5067
207	107	5060
208	107	5051
209	108	5044
210	108	5037
211	108	5029
212	109	5020
213	109	5013
214	110	5011
215	110	5002
216	110	4997
217	111	4989
218	111	4981
219	111	4977
220	112	4970
221	112	4963
222	113	4958
223	113	4954
224	113	4947
225	114	4939
226	114	4935
227	114	4928
228	115	4919
229	115	4913
230	116	4907
231	116	4902
232	116	4897
233	117	4891
234	117	4885
235	117	4881
236	118	4875
237	118	4871
238	119	4863
239	119	4862
240	119	4855
241	120	4849
242	120	4844
243	121	4838
244	121	4832
245	121	4827
246	122	4820
247	122	4814
248	122	4809
249	123	4804
250	123	4800
251	123	4795
252	124	4791
253	124	4786
254	125	4779
255	125	4775
256	125	4771
257	126	4776
258	126	4774
259	127	4767
260	127	4763
261	128	4761
262	128	4755
263	128	4750
264	129	4745
265	129	4740
266	129	4735
267	130	4730
268	130	4725
269	130	4720
270	131	4715
271	131	4710
272	132	4706
273	132	4704
274	132	4701
275	133	4699
276	133	4694
277	134	4690
278	134	4685
279	134	4680
280	135	4675
281	135	4670
282	135	4666
283	136	4662
284	136	4658
285	137	4653
286	137	4649
287	137	4644
288	138	4639
289	138	4634
290	138	4629
291	139	4625
292	139	4620
293	139	4614
294	140	4611
295	140	4609
296	140	4604
297	141	4601
298	141	4597
299	142	4593
300	142	4589
301	142	4584
302	143	4580
303	143	4576
304	143	4573
305	144	4570
306	144	4566
307	144	4562
308	145	4557
309	145	4553
310	146	4551
311	146	4546
312	146	4542
313	147	4538
314	147	4534
315	147	4531
316	148	4528
317	148	4526
318	149	4526
319	149	4523
320	149	4520
321	150	4520
322	151	4527
323	151	4530
324	152	4531
325	152	4529
326	153	4530
327	153	4527
328	153	4523
329	154	4521
330	154	4517
331	154	4513
332	155	4510
333	155	4507
334	156	4504
335	156	4499
336	156	4497
337	157	4499
338	157	4497
339	158	4496
340	158	4493
341	159	4497
342	159	4497
343	160	4500
344	160	4504
345	161	4504
346	161	4505
347	162	4504
348	162	4501
349	163	4498
350	163	4497
351	163	4493
352	164	4490
353	164	4495
354	165	4508
355	166	4508
356	166	4509
357	167	4508
358	167	4508
359	168	4512
360	168	4509
361	169	4507
362	169	4503
363	169	4499
364	170	4498
365	170	4495
366	171	4493
367	171	4491
368	172	4493
369	172	4499
370	173	4504
371	174	4506
372	174	4509
373	175	4510
374	175	4510
375	176	4510
376	176	4512
377	177	4511
378	177	4510
379	178	4511
380	178	4507
381	178	4504
382	179	4503
383	180	4509
384	180	4516
385	181	4521
386	182	4528
387	183	4536
388	183	4539
389	184	4541
390	184	4542
391	185	4538
392	185	4536
393	185	4533
394	186	4532
395	186	4530
396	187	4527
397	188	4546
398	189	4548
399	189	4547
400	189	4547
401	190	4547
402	190	4545
403	191	4552
404	192	4562
405	193	4564
406	193	4564
407	194	4565
408	194	4565
409	197	4618
410	198	4621
411	198	4624
412	199	4626
413	199	4628
414	200	4642
415	201	4650
416	202	4654
417	203	4656
418	203	4659
419	204	4667
420	205	4672
421	205	4675
422	206	4676
423	207	4675
424	207	4680
425	208	4681
426	208	4683
427	209	4683
428	210	4685
429	210	4686
430	211	4692
431	211	4693
432	212	4694
433	213	4695
434	213	4696
435	214	4696
436	214	4697
437	215	4697
438	215	4699
439	216	4697
440	216	4693
441	216	4690
442	217	4689
443	217	4685
444	218	4684
445	218	4680
446	219	4682
447	219	4689
448	220	4692
449	221	4696
450	222	4703
451	222	4702
452	223	4702
453	223	4701
454	224	4703
455	224	4700
456	224	4697
457	225	4696
458	225	4695
459	226	4695
460	227	4700
461	227	4705
462	228	4706
463	228	4702
464	229	4702
465	229	4703
466	230	4705
467	231	4705
468	231	4707
469	232	4707
470	232	4712
471	233	4709
472	233	4705
473	234	4707
474	235	4712
475	235	4712
476	235	4711
477	236	4711
478	236	4709
479	237	4709
480	237	4707
481	238	4705
482	238	4705
483	239	4704
484	239	4704
485	240	4705
486	240	4705
487	241	4707
488	241	4704
489	242	4704
490	243	4706
491	243	4712
492	244	4711
493	244	4709
494	245	4709
495	245	4707
496	246	4705
497	246	4703
498	246	4701
499	247	4697
500	247	4694
501	248	4693
502	248	4690
503	248	4689
504	249	4688
505	249	4689
506	250	4693
507	251	4696
508	251	4695
509	252	4697
510	252	4696
511	253	4693
512	253	4692
513	254	4689
514	254	4688
515	254	4685
516	255	4682
517	255	4680
518	256	4676
519	256	4672
520	256	4670
521	257	4666
522	257	4664
523	258	4667
524	258	4670
525	259	4670
526	259	4670
527	260	4668
528	260	4669
529	261	4672
530	262	4673
531	262	4671
532	262	4668
533	263	4670
534	263	4668
535	264	4666
536	264	4667
537	265	4669
538	266	4673
539	266	4674
540	267	4674
541	267	4675
542	268	4673
543	268	4672
544	269	4674
545	269	4673
546	270	4671
547	270	4668
548	271	4666
549	271	4663
550	271	4660
551	272	4656
552	272	4653
553	272	4649
554	273	4647
555	273	4644
556	273	4643
557	274	4640
558	274	4637
559	274	4633
560	275	4630
561	275	4626
562	275	4623
563	276	4620
564	276	4617
565	276	4614
566	277	4610
567	277	4607
568	277	4604
569	278	4600
570	278	4596
571	278	4593
572	278	4589
573	279	4586
574	279	4584
575	280	4581
576	280	4580
577	281	4581
578	281	4581
579	281	4579
580	282	4577
581	282	4574
582	283	4572
583	283	4570
584	283	4567
585	284	4564
586	284	4563
587	284	4561
588	285	4558
589	285	4556
590	286	4555
591	286	4553
592	286	4550
593	287	4548
594	287	4548
595	288	4546
596	288	4545
597	288	4543
598	289	4540
599	289	4537
600	290	4535
601	290	4533
602	290	4530
603	291	4528
604	291	4526
605	291	4524
606	292	4522
607	292	4521
608	293	4518
609	293	4517
610	293	4515
611	294	4514
612	294	4512
613	295	4510
614	295	4509
615	295	4508
616	296	4506
617	296	4504
618	297	4502
619	297	4501
620	297	4500
621	298	4499
622	298	4497
623	299	4495
624	299	4494
625	300	4493
626	300	4492
627	300	4490
628	301	4488
629	301	4486
630	302	4486
631	302	4484
632	302	4483
633	303	4481
634	303	4479
635	304	4478
636	304	4478
637	305	4476
638	305	4475
639	305	4475
640	306	4473
641	306	4472
642	307	4470
643	307	4468
644	308	4467
645	308	4465
646	308	4463
647	309	4461
648	309	4459
649	309	4458
650	310	4456
651	310	4454
652	311	4454
653	311	4452
654	312	4452
655	312	4452
656	313	4453
657	313	4451
658	313	4450
659	314	4448
660	314	4446
661	315	4445
662	315	4443
663	315	4441
664	316	4439
665	316	4437
666	316	4434
667	317	4432
668	317	4430
669	318	4429
670	318	4429
671	318	4427
672	319	4425
673	319	4425
674	320	4424
675	320	4422
676	320	4419
677	321	4418
678	321	4416
679	322	4414
680	322	4411
681	322	4411
682	323	4410
683	323	4408
684	324	4406
685	324	4403
686	324	4402
687	325	4400
688	325	4399
689	325	4397
690	326	4395
691	326	4393
692	327	4394
693	327	4394
694	328	4392
695	328	4390
696	328	4388
697	329	4386
698	329	4384
699	329	4383
700	330	4381
701	330	4380
702	331	4378
703	331	4376
704	331	4373
705	332	4372
706	332	4370
707	332	4368
708	333	4366
709	333	4364
710	333	4362
711	334	4361
712	334	4359
713	335	4358
714	335	4359
715	336	4358
716	336	4356
717	336	4354
718	337	4352
719	337	4351
720	337	4348
721	338	4347
722	338	4346
723	340	4365
724	352	4514
725	353	4516
726	354	4518
727	355	4525
728	355	4526
729	362	4597
730	362	4601
731	365	4627
732	367	4644
733	376	4749
734	376	4750
735	382	4809
736	382	4810
737	383	4811
738	383	4811
739	384	4811
740	385	4811
741	385	4812
742	386	4812
743	387	4816
744	388	4829
745	390	4846
746	391	4847
747	391	4847
748	392	4848
749	395	4875
750	396	4877
751	396	4877
752	397	4877
753	397	4877
754	398	4878
755	399	4879
756	399	4879
757	400	4880
758	400	4880
759	401	4880
760	402	4880
761	402	4881
762	413	5004
763	415	5023
764	416	5023
765	428	5166
766	429	5166
767	429	5164
768	430	5163
769	430	5160
770	430	5156
771	431	5152
772	431	5150
773	431	5148
774	432	5146
775	432	5144
776	433	5141
777	433	5139
778	433	5137
779	434	5134
780	434	5134
781	435	5139
782	436	5139
783	437	5142
784	438	5143
785	438	5143
786	439	5142
787	439	5142
788	440	5142
789	441	5142
790	441	5142
791	442	5142
792	442	5142
793	443	5141
794	445	5163
795	450	5214
796	453	5236
797	455	5248
798	456	5256
799	458	5272
